no,menu,energy,carbo,protein,fat,price
1,Brongkos,282,25.2,30.6,6.6,4000
2,Toge Goreng,176,28,6.4,4.2,2500
3,Botok Lamtoro,372,26,23.4,19.4,3000
4,Sayur Bunga Pepaya,98,19.6,3.4,0.6,3500
5,Sayur asem,58,10,1.4,1.2,2500
6,Cap cai,194,8.4,11.6,12.6,3000
7,Sayur Sop,54,2,4,2.6,2000
8,Tumis Bayam Bersantan,96,5.2,2.8,8.4,3500
9,Semur Jengkol,424,58.2,12,20,4500
10,Ketimun,16,2.8,0.4,0.4,2000
11,Pelecing Kangkung,150,20,4.6,5.6,3000
